2024-10-23 20:00:48 [INFO] Drawing triangle
2024-10-23 20:00:48 [INFO] Drawing triangle
2024-10-23 20:00:48 [INFO] Drawing triangle
2024-10-23 20:00:48 [INFO] Drawing triangle
2024-10-23 20:00:48 [INFO] Drawing triangle
2024-10-23 20:00:48 [INFO] Drawing triangle
2024-10-23 20:00:48 [INFO] Drawing triangle
2024-10-23 20:00:48 [INFO] Drawing triangle
2024-10-23 20:00:48 [INFO] Drawing triangle
2024-10-23 20:00:48 [INFO] Drawing triangle
2024-10-23 20:00:48 [INFO] Drawing triangle
2024-10-23 20:00:48 [INFO] Drawing triangle
2024-10-23 20:00:48 [INFO] Drawing triangle
2024-10-23 20:00:48 [INFO] Drawing triangle
2024-10-23 20:00:48 [INFO] Drawing triangle
2024-10-23 20:00:48 [INFO] Drawing triangle
2024-10-23 20:00:48 [INFO] Drawing triangle
2024-10-23 20:00:48 [INFO] Drawing triangle
2024-10-23 20:00:48 [INFO] Drawing triangle
2024-10-23 20:00:48 [INFO] Drawing triangle
2024-10-23 20:00:48 [INFO] Drawing triangle
2024-10-23 20:00:48 [INFO] Drawing triangle
2024-10-23 20:00:48 [INFO] Drawing triangle
2024-10-23 20:00:48 [INFO] Drawing triangle
2024-10-23 20:00:48 [INFO] Drawing triangle
2024-10-23 20:00:48 [INFO] Drawing triangle
2024-10-23 20:00:48 [INFO] Drawing triangle
2024-10-23 20:00:48 [INFO] Drawing triangle
2024-10-23 20:00:48 [INFO] Drawing triangle
2024-10-23 20:00:48 [INFO] Drawing triangle
2024-10-23 20:00:48 [INFO] Drawing triangle
2024-10-23 20:00:48 [INFO] Drawing triangle
2024-10-23 20:00:48 [INFO] Drawing triangle
2024-10-23 20:00:48 [INFO] Drawing triangle
2024-10-23 20:00:48 [INFO] Drawing triangle
2024-10-23 20:00:48 [INFO] Drawing triangle
2024-10-23 20:00:48 [INFO] Drawing triangle
2024-10-23 20:00:48 [INFO] Drawing triangle
2024-10-23 20:00:48 [INFO] Drawing triangle
2024-10-23 20:00:48 [INFO] Drawing triangle
2024-10-23 20:00:48 [INFO] Drawing triangle
2024-10-23 20:00:48 [INFO] Drawing triangle
2024-10-23 20:00:48 [INFO] Drawing triangle
2024-10-23 20:00:48 [INFO] Drawing triangle
2024-10-23 20:00:48 [INFO] Drawing triangle
2024-10-23 20:00:48 [INFO] Drawing triangle
2024-10-23 20:00:48 [INFO] Drawing triangle
2024-10-23 20:00:48 [INFO] Drawing triangle
2024-10-23 20:00:48 [INFO] Drawing triangle
2024-10-23 20:00:48 [INFO] Drawing triangle
2024-10-23 20:00:48 [INFO] Drawing triangle
2024-10-23 20:00:48 [INFO] Drawing triangle
2024-10-23 20:00:48 [INFO] Drawing triangle
2024-10-23 20:00:48 [INFO] Drawing triangle
2024-10-23 20:00:48 [INFO] Drawing triangle
2024-10-23 20:00:48 [INFO] Drawing triangle
2024-10-23 20:00:48 [INFO] Drawing triangle
2024-10-23 20:00:48 [INFO] Drawing triangle
2024-10-23 20:00:48 [INFO] Drawing triangle
2024-10-23 20:00:48 [INFO] Drawing triangle
2024-10-23 20:00:48 [INFO] Drawing triangle
2024-10-23 20:00:48 [INFO] Drawing triangle
2024-10-23 20:00:48 [INFO] Drawing triangle
2024-10-23 20:00:48 [INFO] Drawing triangle
2024-10-23 20:00:48 [INFO] Drawing triangle
2024-10-23 20:00:48 [INFO] Drawing triangle
2024-10-23 20:00:48 [INFO] Drawing triangle
2024-10-23 20:00:48 [INFO] Drawing triangle
2024-10-23 20:00:48 [INFO] Drawing triangle
2024-10-23 20:00:48 [INFO] Drawing triangle
2024-10-23 20:00:48 [INFO] Drawing triangle
2024-10-23 20:00:48 [INFO] Drawing triangle
2024-10-23 20:00:48 [INFO] Drawing triangle
2024-10-23 20:00:48 [INFO] Drawing triangle
2024-10-23 20:00:48 [INFO] Drawing triangle
2024-10-23 20:00:48 [INFO] Drawing triangle
2024-10-23 20:00:48 [INFO] Drawing triangle
2024-10-23 20:00:48 [INFO] Drawing triangle
2024-10-23 20:00:48 [INFO] Drawing triangle
2024-10-23 20:00:48 [INFO] Drawing triangle
2024-10-23 20:00:48 [INFO] Drawing triangle
2024-10-23 20:00:48 [INFO] Drawing triangle
2024-10-23 20:00:48 [INFO] Drawing triangle
2024-10-23 20:00:48 [INFO] Drawing triangle
2024-10-23 20:00:48 [INFO] Drawing triangle
2024-10-23 20:00:48 [INFO] Drawing triangle
2024-10-23 20:00:48 [INFO] Drawing triangle
2024-10-23 20:00:48 [INFO] Drawing triangle
2024-10-23 20:00:48 [INFO] Drawing triangle
2024-10-23 20:00:48 [INFO] Drawing triangle
2024-10-23 20:00:48 [INFO] Drawing triangle
2024-10-23 20:00:48 [INFO] Drawing triangle
2024-10-23 20:00:48 [INFO] Drawing triangle
2024-10-23 20:00:48 [INFO] Drawing triangle
2024-10-23 20:00:48 [INFO] Drawing triangle
2024-10-23 20:00:48 [INFO] Drawing triangle
2024-10-23 20:00:48 [INFO] Drawing triangle
2024-10-23 20:00:48 [INFO] Drawing triangle
2024-10-23 20:00:48 [INFO] Drawing triangle
2024-10-23 20:00:48 [INFO] Drawing triangle
2024-10-23 20:00:48 [INFO] Drawing triangle
2024-10-23 20:00:48 [INFO] Drawing triangle
2024-10-23 20:00:48 [INFO] Drawing triangle
2024-10-23 20:00:48 [INFO] Drawing triangle
2024-10-23 20:00:48 [INFO] Drawing triangle
2024-10-23 20:00:48 [INFO] Drawing triangle
2024-10-23 20:00:48 [INFO] Drawing triangle
2024-10-23 20:00:48 [INFO] Drawing triangle
2024-10-23 20:00:48 [INFO] Drawing triangle
2024-10-23 20:00:48 [INFO] Drawing triangle
2024-10-23 20:00:48 [INFO] Drawing triangle
2024-10-23 20:00:48 [INFO] Drawing triangle
2024-10-23 20:00:48 [INFO] Drawing triangle
